;;Jump / Phase distance (m);;;; Phase percentage (%);;;;Phase contact time (s);;;Phase fligh time (s);;Phase duration (s);;;Phase velocity (m/s);;;;Run-up velocity (m/s);;;;;Phase jump height (m);;Triple Jump rating;;
Athlete;Age (yrs.);Triple Jump;Hop;Step;Jump;Hop;Step;Jump;∆Hop-Step;Hop;Step;Jump;Hop;Step;Hop;Step;∆Hop-Step;Hop;Step;∆Hop-Step;mean Hop-Step;11-6m;6-1m;∆Run-up-Hop;Sprint vmax;6-1m/vmax;Hop;Step;Subjective Step rating;∆Jump-Hop;∆Rating
w10FT4;15;10,16;3,74;2,10;4,32;36,8%;20,7%;42,5%;16,1%;0,146;0,168;0,162;0,429;0,116;0,575;0,284;-0,291;6,50;7,39;0,89;6,95;6,62;7,18;-0,68;8,26;87,0%;0,226;0,017;running-like;5,7%;Jump-dominated
w11FT4;15;9,07;3,20;2,40;3,47;35,3%;26,5%;38,3%;8,8%;0,176;0,220;0,234;0,383;0,211;0,559;0,431;-0,128;5,72;5,57;-0,16;5,65; ;5,95;-0,23;7,09;84,0%;0,180;0,055;jump-like;3,0%;Jump-dominated
w12FT4;14;9,80;3,59;2,56;3,65;36,6%;26,1%;37,2%;10,5%;0,171;0,201;0,201;0,426;0,203;0,597;0,404;-0,193;6,01;6,34;0,32;6,18;6,11;6,71;-0,70;7,52;89,2%;0,223;0,051;running-like;0,6%;balanced
w13FT5;16;9,79;3,72;2,81;3,26;38,0%;28,7%;33,3%;9,3%;0,160;0,193;0,193;0,416;0,274;0,576;0,467;-0,109;6,46;6,02;-0,44;6,24;6,97;6,78;-0,33;7,81;86,9%;0,212;0,092;jump-like;-4,7%;Hop-dominated
w14FT5;15;9,28;3,42;2,48;3,38;36,9%;26,7%;36,4%;10,1%;0,171;0,219;0,232;0,396;0,205;0,567;0,424;-0,143;6,03;5,85;-0,18;5,94;6,35;6,61;-0,58;7,19;92,0%;0,192;0,052;jump-like;-0,4%;balanced
w15FT5;16;10,32;3,89;2,17;4,26;37,7%;21,0%;41,3%;16,7%;0,145;0,167;0,169;0,479;0,129;0,624;0,296;-0,328;6,23;7,33;1,10;6,78;7,54;6,81;-0,58;8,20;83,1%;0,281;0,020;running-like;3,6%;Jump-dominated
w16FT5;15;11,45;4,12;2,90;4,43;36,0%;25,3%;38,7%;10,7%;0,134;0,161;0,172;0,420;0,233;0,554;0,394;-0,160;7,44;7,36;-0,08;7,40;7,60;8,04;-0,60;8,62;93,3%;0,216;0,067;jump-like;2,7%;Jump-dominated
w17FT5;15;11,37;4,05;3,17;4,15;35,6%;27,9%;36,5%;7,7%;0,147;0,160;0,185;0,422;0,297;0,569;0,457;-0,112;7,12;6,94;-0,18;7,03;7,22;7,81;-0,69;;;0,218;0,108;jump-like;0,9%;balanced
w18WK2;15;10,95;3,94;2,56;4,45;36,0%;23,4%;40,6%;12,6%;0,125;0,142;0,164;0,399;0,182;0,524;0,324;-0,200;7,52;7,90;0,38;7,71;7,20;;;8,40;;0,195;0,041;running-like;4,7%;Jump-dominated
w19WK2;15;10,24;3,71;2,33;4,20;36,2%;22,8%;41,0%;13,5%;0,156;0,178;0,169;0,384;0,147;0,540;0,325;-0,215;6,87;7,17;0,30;7,02;6,96;;;;;0,181;0,026;running-like;4,8%;Jump-dominated
w1FT1;16;10,74;3,88;2,78;4,08;36,1%;25,9%;38,0%;10,2%;0,164;0,182;0,179;0,402;0,234;0,566;0,416;-0,150;6,86;6,68;-0,17;6,77;6,16;7,02;-0,17;8,83;79,5%;0,198;0,067;jump-like;1,9%;balanced
w20WK3;17;10,39;3,92;1,92;4,55;37,7%;18,5%;43,8%;19,2%;0,138;0,158;0,155;0,422;0,091;0,560;0,249;-0,311;7,00;7,71;0,71;7,36;6,34;7,41;-0,41;8,70;85,1%;0,218;0,010;running-like;6,1%;Jump-dominated
w21WK4;15;9,88;3,45;2,01;4,42;34,9%;20,3%;44,7%;14,6%;0,137;0,147;0,149;0,359;0,109;0,496;0,256;-0,240;6,96;7,85;0,90;7,40;6,96;7,50;-0,54;;;0,158;0,015;running-like;9,8%;Jump-dominated
w22WK4;15;9,88;3,87;2,03;3,98;39,2%;20,5%;40,3%;18,6%;0,125;0,156;0,148;0,448;0,121;0,573;0,277;-0,296;6,75;7,33;0,57;7,04;6,54;7,30;-0,55;8,00;91,3%;0,246;0,018;running-like;1,1%;balanced
w23WK4;15;9,55;3,65;2,78;3,12;38,2%;29,1%;32,7%;9,1%;0,144;0,171;0,194;0,421;0,293;0,565;0,464;-0,101;6,46;5,99;-0,47;6,23;6,97;7,34;-0,88;7,41;99,1%;0,217;0,105;jump-like;-5,5%;Hop-dominated
w24WK3;16;9,35;3,43;2,38;3,54;36,7%;25,5%;37,9%;11,2%;0,133;0,159;0,178;0,398;0,198;0,531;0,357;-0,174;6,46;6,67;0,21;6,56;6,83;7,16;-0,70;;;0,194;0,048;running-like;1,2%;balanced
w25WK3;17;12,23;4,11;3,33;4,79;33,6%;27,2%;39,2%;6,4%;;0,147;0,172;;0,303;;0,450;;;7,40;;;8,06;8,42;;;;;0,113;jump-like;5,6%;jump-dominated
w26WK4;15;10,51;3,95;2,03;4,53;37,6%;19,3%;43,1%;18,3%;0,146;0,152;0,168;0,415;0,093;0,561;0,245;-0,316;7,04;8,29;1,24;7,66;7,44;7,95;-0,91;;;0,211;0,011;running-like;5,5%;Jump-dominated
w27WK3;16;9,81;3,62;2,80;3,39;36,9%;28,5%;34,6%;8,4%;0,144;0,148;0,162;0,408;0,265;0,552;0,413;-0,139;6,56;6,78;0,22;6,67;6,83;7,30;-0,74;;;0,204;0,086;jump-like;-2,3%;Hop-dominated
w28WK4;15;10,18;3,84;1,85;4,49;37,7%;18,2%;44,1%;19,5%;0,127;0,136;0,130;0,420;0,098;0,547;0,234;-0,313;7,02;7,91;0,89;7,46;7,03;7,65;-0,63;;;0,216;0,012;running-like;6,4%;Jump-dominated
w29WK3;16;11,10;4,00;3,16;3,94;36,0%;28,5%;35,5%;7,6%;0,139;0,174;0,168;0,403;0,297;0,542;0,471;-0,071;7,38;6,71;-0,67;7,04;7,80;8,16;-0,78;8,06;101,2%;0,199;0,108;jump-like;-0,5%;balanced
w2FT1;17;9,72;3,64;2,72;3,36;37,4%;28,0%;34,6%;9,5%;0,139;0,182;0,192;0,470;0,295;0,609;0,477;-0,132;5,98;5,70;-0,27;5,84;6,07;6,62;-0,65;8,24;80,4%;0,271;0,107;jump-like;-2,9%;Hop-dominated
w30WK3;17;10,21;3,37;2,33;4,51;33,0%;22,8%;44,2%;10,2%;0,142;0,145;0,158;0,383;0,171;0,525;0,316;-0,209;6,42;7,37;0,95;6,90;;;;;;0,180;0,036;running-like;11,2%;Jump-dominated
w31WK4;15;10,75;3,92;3,04;3,79;36,5%;28,3%;35,3%;8,2%;0,126;0,155;0,163;0,413;0,277;0,539;0,432;-0,107;7,27;7,04;-0,24;7,15;7,63;7,84;-0,56;8,13;96,4%;0,209;0,094;jump-like;-1,2%;balanced
w32WK4;15;10,77;3,86;2,96;3,95;35,8%;27,5%;36,7%;8,4%;0,164;0,183;0,201;0,388;0,259;0,552;0,442;-0,110;6,99;6,70;-0,30;6,84;6,85;7,62;-0,63;;;0,185;0,082;jump-like;0,8%;balanced
w33WK1;16;10,53;3,84;2,62;4,07;36,5%;24,9%;38,7%;11,6%;0,154;0,157;0,175;0,408;0,204;0,562;0,361;-0,201;6,83;7,26;0,42;7,05;7,54;7,63;-0,80;7,81;97,7%;0,204;0,051;jump-like;2,2%;Jump-dominated
